Latitude Longitude
-43.5567 172.76
-43.529 172.7158
-42.2043 177.4485
-39.6149 174.439
-40.279 176.3812
-43.6134 172.7886
-43.5911 172.7236
-38.2565 175.9906
-46.0271 166.0938
-34.29 -179.03
-43.526 172.7751
-43.6192 172.4866
-40.1432 176.9783
-38.6085 177.9206
-43.1842 171.9868
-41.3496 173.2313
-43.537 172.6923
-38.3024 178.0992
-38.1657 176.0484
-43.6 172.6603
-43.5994 172.4068
-38.0535 177.5506
-36.3017 -179.0259
-43.5767 172.9227
-43.5753 172.7012
-44.4611 170.6581
-45.5807 167.041
-38.0431 178.0697
-37.9132 177.567
-38.3128 177.2352
-43.6279 172.3564
-43.6051 172.4125
-43.5846 172.4039
-42.3073 173.1505
-44.1768 168.356
-44.3083 168.1606
-43.3668 172.1559
-43.5684 172.7531
-43.5638 172.7431
-43.5959 172.7382
-43.5954 172.7823
-43.4812 171.145
-43.6461 172.8382
-43.6546 172.8547
-43.6501 172.8651
-43.6594 172.8695
-43.5897 172.7932
-43.5306 172.7566
-43.6019 172.7694
-43.5727 172.7998
-44.5288 168.3718
-43.6068 172.3991
-43.6533 172.8379
-46.9347 165.6236
-43.7033 171.752
-43.5988 172.5249
-43.5971 172.5309
-43.5948 172.5286
-43.6115 172.4841
-43.6549 172.9768
-43.5988 172.5162
-43.605 172.7702
-43.4842 170.277
-45.5959 166.6339
-40.6837 176.9075
-40.7417 177.003
-38.6745 175.7497
-40.6845 176.9667
-43.2067 172.2105
-35.8973 178.116
-43.557 172.6328
-43.56 172.7708
-43.5389 172.2682
-34.59 179.12
-43.6117 172.7561
-45.684 166.7957
-43.6445 172.1954
-43.6455 172.2066
-42.1045 173.1311
-40.3051 174.1562
-45.1173 167.3227
-43.5999 172.8842
-38.3436 175.8664
-38.6222 176.0671
-43.6035 172.7752
-43.5581 172.6251
-43.65 172.8285
-37.8324 176.6355
-43.5742 172.0749
-37.8334 176.6302
-43.6022 172.4415
-43.5711 172.8137
-43.5674 172.3936
-38.5195 176.5128
-49.675 163.995
-43.6039 172.7635
-45.2958 166.6181
-35.133 -179.049
-35.42 -178.45
-43.6188 172.8035
-43.5953 172.5263
-43.5933 172.5017
-43.5668 172.5003
-43.5829 172.6453
-43.5829 172.4064
-36.6159 177.7323
-49.12 164.39
-38.477 178.7835
-37.5127 176.3179
-40.2827 176.6606
-43.696 172.8486
-43.6817 172.8535
-43.6505 172.8295
-37.8063 177.5823
-43.5799 172.7899
-44.9714 167.4856
-38.9466 178.0702
-37.3549 177.7281
-41.3157 172.3912
-38.6745 177.1405
-38.9321 175.6512
-37.8151 176.6452
-41.6344 174.2923
-41.6283 174.2847
-37.4109 178.5161
-43.2853 172.0078
-43.6387 172.4811
-38.9641 178.0775
-38.9692 178.1075
-43.5911 172.7784
-37.4641 179.7854
-37.4289 179.9625
-37.423 179.9892
-37.5681 -179.915
-37.2754 179.8374
-37.5314 179.7328
-47.6671 165.128
